% Model:              GRIN_Paper_Design_Unit_Cells_200127.mph
% Version:            COMSOL 5.4.0.388
% Date:               Feb 16 2020, 13:38
% Table:              Table 4 - Global Evaluation 1 (T_mag, R_mag, T_Phase, R_Phase, T, R)
% freq (Hz)                                       T_mag (1)                                         R_mag (1)                                         T_Phase (deg)                                     R_Phase (deg)                                     T (1)                                             R (1)
500                                               0.9875691313738012                                0.17507221896830089                               -13.893421009970076                               75.48981150893445                                 0.958676867501039-0.23713172069716756i            0.043864722397340974+0.1694879582256182i
600                                               0.980936305212397                                 0.2087895495780989                                -16.60199340918588                                72.98389436996735                                 0.9400436547707582-0.28027479731325206i           0.0611002796177507+0.19964927208396752i
700                                               0.973268695114187                                 0.24172568328767896                               -19.279286806546516                               70.45776535982021                                 0.9186881519569496-0.32134721461870025i           0.08085763292863998+0.22780111755229077i
800                                               0.9646450598570978                                0.27378020005909853                               -21.92090068771702                                67.93410165992991                                 0.8949013488957991-0.36012729312172825i           0.10285175775955155+0.2537264548094474i
900                                               0.9551511614682202                                0.3048665574081375                                -24.52284036066879                                65.42697009817563                                 0.8689925967086666-0.3964411786376624i            0.12677959727277507+0.27725539046381437i
1000                                              0.9448777789312557                                0.33491258177872363                               -27.081547935219724                               62.945920759610985                                0.8412808750202604-0.4301633485586701i            0.15232871943842008+0.29826565117012943i
1100                                              0.9339187478231096                                0.3638605972386908                                -29.593922398553058                               60.497836776963474                                0.8120865434081443-0.461215430738063i             0.17918548722221023+0.3166813783471265i
1200                                              0.9223690978240608                                0.391667191361784                                 -32.05732919194296                                58.08785786486126                                 0.7817238996921102-0.4895635783745882i            0.20704242024151864+0.3324704874267229i
1300                                              0.9103233462295496                                0.4183026554845265                                -34.46960008839549                                55.71988210794934                                 0.7504947772330056-0.5152146970308064i            0.23560451665461846+0.3456408877973642i
1400                                              0.8978739900705257                                0.44375015392354866                               -36.829024467489106                               53.396860931790016                                0.7186833199025416-0.5382118428082268i            0.26459439755839487+0.35623588236993087i
1500                                              0.8851102236587614                                0.46800468408977325                               -39.134333276891695                               51.120986582129326                                0.6865519856027789-0.5586291069127568i            0.29375622386936795+0.36432906179438695i
1600                                              0.8721168936523308                                0.49107189041315513                               -41.38467706063025                                48.893820957953146                                0.6543387537689396-0.5765662767712849i            0.3228584111000602+0.37001898321017856i
1700                                              0.8589736909188985                                0.5129667915279831                                -43.57959944032271                                46.7163909718581                                  0.6222554529263878-0.5921435239823293i            0.35169522669478237+0.3734238834496515i
1800                                              0.8457545681970935                                0.5337124737747405                                -45.71900736757913                                44.58926385889854                                 0.5904870826041233-0.6054963211316179i            0.3800873963557137+0.3746766283000419i
1900                                              0.832527364881664                                 0.5533387959176437                                -47.80313935006971                                42.51260976366333                                 0.559191978905956-0.6167707386088028i             0.4078818706542275+0.3739200484852287i
2000                                              0.8193536152635471                                0.5718811410934211                                -49.83253270156442                                40.486255672893975                                0.5285026629287203-0.626119223569039i             0.4349509133188603+0.3713027639829829i
2100                                              0.806288513827528                                 0.5893792431541525                                -51.807990699166645                               38.50973298154409                                 0.49852721296634567-0.6336969192462685i           0.4611906707444575+0.36697555433467083i
2200                                              0.7933810104489802                                0.6058761063187399                                -53.730550360182406                               36.58232000102403                                 0.4693510119970839-0.6396585458495478i            0.4865193716441102+0.3610882956050738i
2300                                              0.7806740090866819                                0.6214170297694702                                -55.60145138782322                                34.70308018235675                                 0.441038738275829-0.6441558350302646i             0.5108752893839006+0.35378745538024153i
2400                                              0.7682046453753408                                0.6360487427033263                                -57.42210668568961                                32.87089653950882                                 0.4136364862962819-0.6473354882753756i            0.5342145800233109+0.3452141155645287i
2500                                              0.7560046210519014                                0.6498186504349932                                -59.194074709882905                               31.084502609295722                                0.387173925872063-0.6493376149405201i             0.5565090885585661+0.3355024780905052i
2600                                              0.7441005760367414                                0.6627741883941444                                -60.919033818675494                               29.342510211532232                                0.36166642699139556-0.6502945969677804i           0.5777441958918142+0.3247787999775196i
2700                                              0.7325144819920889                                0.6749622781596165                                -62.59875868864123                                27.643434241049                                   0.3371170964300418-0.6503303234685557i            0.5979167606833257+0.31316070033191945i
2800                                              0.7212640441193305                                0.686428877886356                                 -64.23509879739822                                25.9857147103313                                  0.3135186881851519-0.6495597382058351i            0.6170331941163103+0.30075678172727127i
2900                                              0.7103631006864739                                0.6972186184319887                                -65.82995891964373                                24.36773625693283                                 0.29085536338884216-0.6480886454836607i           0.6351076919713932+0.2876665108888781i
3000                                              0.699822012227317                                 0.7073745160432503                                -67.38528154660146                                22.787845327192123                                0.2691042864114669-0.6460137241830596i            0.6521606373121366+0.2739803078472071i
