% Model,GRIN_Paper_Design_Unit_Cells_200127.mph
% Version,COMSOL 5.4.0.388
% Date,"Feb 16 2020, 18:45"
% Table,"Table 4 - Global Evaluation 1 (T_mag, R_mag, T_Phase, R_Phase, T, R)"
% Pillar_a (mm),freq (Hz),T_mag (1),R_mag (1),T_Phase (deg),R_Phase (deg),T (1),R (1)
1,500,1.0024623945476148,0.002591733817196889,-6.9692062187579715,-39.7706097860667,0.9950557084790327-0.12163465585690558i,0.0019920371181956576-0.0016579723456477478i
1,600,1.0022610393103213,0.0023544556266696403,-8.34903762231558,-44.99607883559757,0.9916389533542687-0.1455313612588575i,0.0016649654735486662-0.0016647375978955945i
1,700,1.00204322402659,0.002091250767574353,-9.727836409377852,-50.786121072139295,0.9876353399050422-0.16931349086311687i,0.0013221242891149714-0.0016202830422529738i
1,800,1.001810596582464,0.0018052731101686052,-11.105528006611232,-57.46738417959802,0.9830507760406008-0.19296539366136392i,9.708390957737692E-4-0.0015219994915948555i
1,900,1.0015649004660538,0.0015016947230196464,-12.482046581936062,-65.6673557471043,0.9778916918664635-0.2164719123214876i,6.187486280509527E-4-0.0013682971813279879i
1,1000,1.0013079591593885,0.0011905184682812421,-13.857335355998021,-76.71059825317708,0.9721649866221206-0.2398184060116147i,2.7366414703346815E-4-0.0011586380616685952i
1,1100,1.0010416607000812,8.953379193888446E-4,-15.231346816365795,86.37722341053633,0.965877975187484-0.2629907669575158i,-5.657394686362969E-5-8.935487554866922E-4i
1,1200,1.00076794264745,6.803320919178082E-4,-16.604042840873348,57.629980423447016,0.9590383349482244-0.2859754309911034i,-3.6423954332805115E-4-5.746140534040511E-4i
1,1300,1.0004887776353568,6.736369503780261E-4,-17.975394742440756,17.6681594374141,0.9516540536794326-0.30875938251297586i,-6.418616922653725E-4-2.0445123848203853E-4i
1,1400,1.0002061596541783,9.077837100424682E-4,-19.345383245388845,-13.591947293724713,0.9437333790116013-0.33133015430157403i,-8.823603551514262E-4+2.1333416949827105E-4i
1,1500,0.9999220911449848,0.0012724690176253604,-20.713998406806414,-31.994926464389767,0.9352847698998042-0.3536758226868631i,-0.0010791746333003783+6.742102874159097E-4i
1,1600,0.9996385709255281,0.001696898349321011,-22.081239494232435,-43.72054865953956,0.9263168503975381-0.37578499857181247i,-0.0012263812213536365+0.0011727971298735064i
1,1700,0.9993575829354266,0.002153905283117475,-23.44711483187956,-52.24518876329746,0.9168383659356744-0.39764681479793174i,-0.0013188010393309683+0.0017029597139395073i
1,1800,0.9990810857232929,0.0026317921938667456,-24.811641625155165,-59.08583192547231,0.9068581422018521-0.41925091028194456i,-0.001352092235744447+0.0022579142449919393i
1,1900,0.9988110025754438,0.003124216541150825,-26.174845771742795,-64.94986644819552,0.8963850466564357-0.44058741130053036i,-0.001322828009606896+0.002830345394647071i
