% Model,GRIN_Paper_Design_Unit_Cells_200127.mph
% Version,COMSOL 5.4.0.388
% Date,"Feb 16 2020, 18:41"
% Table,"Table 4 - Global Evaluation 1 (T_mag, R_mag, T_Phase, R_Phase, T, R)"
% freq (Hz),T_mag (1),R_mag (1),T_Phase (deg),R_Phase (deg),T (1),R (1)
500,1.0024694599199315,0.002600669873485463,-7.033515818438396,26.18684100194172,0.994925569446905-0.12275230886997976i,0.0023337364563363262+0.001147675016379489i
600,1.0022693229803554,0.002740427460552104,-8.426320322548452,38.10455272622048,0.9914499474189931-0.14687000221412097i,0.002156403974683612+0.001691113409714669i
700,1.002052399507481,0.0030262453515221056,-9.81813944004434,48.88113199312026,0.9873763019583682-0.17087144199578158i,0.001990129652092956+0.002279812469364426i
800,1.0018202045085127,0.003448568166360335,-11.208901009996136,57.713870694023186,0.9827104528812313-0.19474056577776389i,0.0018420447712682736+0.002915389075008188i
900,1.001574342569004,0.0039881920047540355,-12.598540501725171,64.45861497413304,0.9774587544457796-0.21846177480245305i,0.0017195605353258927+0.0035984423063505884i
1000,1.001316494937754,0.004625336974654779,-13.987001280617294,69.3624092348908,0.9716280478692397-0.24201995708668197i,0.0016302264043973884+0.004328522149592651i
1100,1.0010484068719898,0.005343541115907818,-15.374234796214907,72.7836386319363,0.9652256133970296-0.2654005051677125i,0.0015815857187397454+0.005104117776038858i
1200,1.0007718754311823,0.006130059280264321,-16.7602007011916,75.05364684445631,0.9582591225606336-0.2885893287759793i,0.0015810313081360606+0.005922665513284395i
1300,1.0004887378551333,0.0069750706176740064,-18.14486691255267,76.43776681377426,0.9507365911434617-0.31157286280398006i,0.0016356637473201499+0.006780576245957407i
1400,1.0002008606263084,0.007870787619684901,-19.52820962603033,77.13733277286599,0.9426663332795897-0.3343380709683265i,0.0017521548661342881+0.007673281636905233i
1500,0.999910129232902,0.008810768656814297,-20.910213296574547,77.30263363762832,0.9340569169577748-0.3568724455963156i,0.0019366189602262967+0.008595298210463278i
1600,0.9996184386300656,0.009789447443568437,-22.290870595878726,77.04596250236325,0.9249171211340773-0.37916400393795396i,0.0021944940243308576+0.009540308025822057i
1700,0.9993276843197303,0.0108018260148404,-23.670182357862746,76.45199733158813,0.9152558945297488-0.40120128137430466i,0.0025304350907560057+0.010501254377756663i
1800,0.9990397539400225,0.011843278668768534,-25.04815752065977,75.58542535446655,0.9050823161330684-0.422973321825078i,0.0029482215333804084+0.011470450706760386i
1900,0.9987565192190675,0.01290942852151835,-26.424813071839765,74.4963834709469,0.894405557369263-0.44446966558986395i,0.0034506799191918636+0.012439700673548278i
2000,0.9984798281151271,0.013996071172443848,-27.800174000577194,73.22431261353717,0.8832348458740622-0.46568033476477766i,0.004039623692633784+0.013400427182967918i
2100,0.9982114969633462,0.015099129047346848,-29.174273257738008,71.80069732582105,0.8715794308199428-0.48659581630074566i,0.00471581066775612+0.014343807992799922i
2200,0.9979533024416298,0.016214625912584955,-30.547151722008078,70.25102948513631,0.8594485497665983-0.5072070426938551i,0.005478918966234288+0.015260915452439598i
2300,0.9977069731814019,0.01733867481701539,-31.918858166641694,68.59623140564972,0.8468513970673867-0.5275053702284083i,0.0063275417120560885+0.016142857872520403i
2400,0.9974741808753942,0.018467475077662873,-33.2894492192602,66.8536996987755,0.8337970939340422-0.5474825546628719i,0.0072592004491254785+0.016980920015815273i
2500,0.9972565307674315,0.019597315430623846,-34.65898930437597,65.03808051965456,0.8202946603491471-0.5671307242258794i,0.008270376919635414+0.017766700247781785i
2600,0.9970555514568913,0.020724581424921288,-36.02755055642574,63.16185243815991,0.8063529891113874-0.5864423498027204i,0.009356562522592414+0.018492241967890524i
2700,0.9968726839974357,0.021845765758891498,-37.39521269000387,61.235769933704795,0.7919808223840867-0.6054102122330585i,0.010512324464560225+0.019150157073615996i
2800,0.9967092703325233,0.022957480661938878,-38.76206281337505,59.269204697991995,0.7771867312052695-0.6240273667117967i,0.011731387337716215+0.01973373936880107i
2900,0.9965665411616625,0.024056471702982425,-40.12819517133578,57.270411122892014,0.7619790984798813-0.6422871043721079i,0.013006728609298746+0.020237066034394503i
3000,0.9964456033958786,0.02513963258053523,-41.49371080484822,55.24673487624411,0.7463661060196968-0.6601829112541245i,0.014330686281697381+0.02065508549921493i
