% Model,GRIN_Paper_Design_Unit_Cells_200127.mph
% Version,COMSOL 5.4.0.388
% Date,"Feb 16 2020, 16:39"
% Table,"Table 4 - Global Evaluation 1 (T_mag, R_mag, T_Phase, R_Phase, T, R)"
% freq (Hz),T_mag (1),R_mag (1),T_Phase (deg),R_Phase (deg),T (1),R (1)
500,1.0024422700799245,0.0025421550328220657,-6.447983705701925,-37.47827971313177,0.9961010391949725-0.11257541719970755i,0.0020174137094686254-0.0015468012592930608i
600,1.0022346735433143,0.0022890865807598296,-7.723447033590378,-42.11790737142728,0.9931426870712236-0.13469203380090294i,0.0016979672098341302-0.0015351953388878i
700,1.0020101044698648,0.002007511775845675,-8.997824428448736,-47.2403019610693,0.989679648525226-0.15671133575684454i,0.0013629499910891196-0.0014739304094662084i
800,1.0017703276374736,0.001699949148963033,-10.271037410640307,-53.1554515958256,0.985717254073904-0.17862050373877597i,0.0010193677058573673-0.0013604104488408003i
900,1.001517211142114,0.0013704925442183586,-11.543016993246,-60.51575384204124,0.98126127052602-0.20040719343261845i,6.745348198061283E-4-0.0011930015048721538i
1000,1.0012527093530872,0.0010275320606089812,-12.81370404197999,-70.91672381630174,0.9763178485994224-0.22205955618503123i,3.359434568410727E-4-9.710634013209484E-4i
1100,1.000978845977798,6.950527245562466E-4,-14.083049528628077,-89.08250673489603,0.9708934701065411-0.24356625340864216i,1.1129597074406746E-5-6.949636119841261E-4i
1200,1.000697697452008,4.685541849795794E-4,-15.351014686989778,51.37815468593605,0.9649948954496911-0.2649164650258462i,-2.924609909197425E-4-3.6607320723063057E-4i
1300,1.0004113768719973,5.677594142512719E-4,-16.617571079536436,-1.337750266239818,0.9586291121214203-0.2860998922897782i,-5.676046682460041E-4+1.3254925736910655E-5i
1400,1.000122018611013,9.194004052865792E-4,-17.8827005877752,-28.572714906687178,0.9518032847553035-0.3071067554443928i,-8.074273985191613E-4+4.397250292645454E-4i
1500,0.9998317637279647,0.0013555966257754693,-19.146395336981133,-42.1185563907196,0.9445247071850504-0.32792778667927397i,-0.0010055255514380235+9.091537698426469E-4i
1600,0.9995427462029155,0.0018284157273872061,-20.408657568027387,-50.78116691990844,0.9368007568264493-0.3485542188759991i,-0.0011560779955023547+0.0014165407655525285i
1700,0.9992570800014868,0.0023235574205801544,-21.669499467083263,-57.33901737846172,0.9286388516143872-0.36897777061146936i,-0.001253947591968221+0.0019561529907781245i
1800,0.998976846913995,0.0028346084937348574,-22.92894296382401,-62.820979521837,0.9200464096196016-0.38919062786288644i,-0.0012947704320436027+0.0025216214706135854i
1900,0.9987040850785058,0.003357564939209671,-24.187019505913607,-67.68187410331207,0.9110308114058587-0.40918542278736925i,-0.0012750313798614388+0.00310604850274085i
2000,0.9984407780723438,0.0038893289430232273,-25.443769815946666,-72.15086680168173,0.901599365139715-0.4289552098965232i,-0.0011921247397387541+0.0037021234760527618i
2100,0.998188844433362,0.004427198171461236,-26.699243634687786,-76.35501184135939,0.8917592744335674-0.4484934398772494i,-0.0010443991411235609+0.004302245237478923i
2200,0.9979501274686605,0.004968664912953446,-27.953499451115885,-80.36996561565172,0.8815176089089416-0.46779393123273627i,-8.311860007996613E-4+0.0048986488799759205i
2300,0.9977263852167931,0.005511329583303089,-29.206604217816587,-84.2432942228258,0.8708812774855486-0.4868508398708044i,-5.528112129832407E-4+0.0054835347667897385i
2400,0.9975192804364166,0.006052862120996317,-30.458633047438703,-88.00617399035114,0.8598570044343425-0.5056586267113273i,-2.1059000273849918E-4+0.00604919760848814i
2500,0.9973303705342732,0.006590985494614856,-31.70966888379481,88.3203065482481,0.8484513082970859-0.5242120233636328i,1.9319484880889158E-4+0.00658815342418626i
2600,0.9971610973698153,0.007123470254236467,-32.9598021397581,84.72155286686343,0.8366704838230636-0.542505995918068i,6.553309167071817E-4+0.007093262285620029i
2700,0.9970127769242805,0.0076481349644518986,-34.2091302924838,81.18731635289905,0.8245205871472101-0.5605357069096357i,0.0011717294429619632+0.007557844834803615i
2800,0.9968865888668638,0.00816284994599793,-35.457757426304546,77.7103592503498,0.8120074244871344-0.5782964755559058i,0.001737493058411145+0.007975790688881667i
2900,0.996783566097813,0.0086655429761261,-36.70579371373086,74.28559758602857,0.7991365446830478-0.5957837364301852i,0.0023469967066070516+0.008341657001475428i
3000,0.9967045844050578,0.009154206204732307,-37.95335482568247,70.90953606900504,0.7859132359443831-0.6129929968127592i,0.002993980367160445+0.008650755620165054i
