FREQ,T,R,T (deg),R (deg)
531.25,1,0.010952627,-5.077445624,85.20779357
759.765625,1,0.024080849,-5.52173154,83.73019108
917.96875,1,0.030596206,-7.404502005,82.52963907
1035.15625,1,0.044424718,-9.13754376,81.18616419
1169.921875,1,0.046821661,-9.741358811,79.72835103
1328.125,1,0.048200966,-10.53791555,78.58496815
1492.1875,1,0.051551721,-12.67495258,77.08097991
1632.8125,1,0.05218996,-13.96370842,75.84084926
1791.015625,0.996190476,0.054955662,-15.27043171,76.03576881
1902.34375,0.996190476,0.057260415,-16.08713376,74.41978769
2060.546875,1,0.058342808,-17.76627318,73.44791224
2177.734375,0.996190476,0.066709898,-18.64613352,71.8390092
2365.234375,0.996190476,0.069316041,-18.52580609,69.66658174
2488.28125,0.996190476,0.073969867,-19.37027601,67.37981599
2693.359375,0.996190476,0.077506775,-20.74560226,65.69740977
2839.84375,0.996190476,0.081229836,-24.7376419,64.55402689
2962.890625,0.996190476,0.088733236,-25.77158669,63.63674154
,,,,
